HGEFamsi;raze;330;42;26;5;63;8;2;1
HGESerialKiller;cypher;272;32;24;11;64;5;4;1
HGEMichel;yoru;165;22;24;1;36;1;1;1
HGEHiber;breach;142;18;25;8;30;2;3;2
HGESacake;omen;109;12;26;11;22;2;0;0
